/カウンタ,移動パターン,敵の種類,x座標,x乱数,y座標,y乱数,スピード,発射時間,弾幕種類,弾の色,弾種類,体力,待機時間,アイテム
/cnt,moveType,enemyType,x座標,xrand,y座標,yrand,speed,startTime,barrageType,bulletCol,bulletType,hp,waitTime,itemType
120,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
130,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
140,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
150,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
160,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
170,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
180,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
190,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
200,4,2,-16,0,50,0,0,0,22,0,0,180,0,0
380,3,2,833,0,50,0,0,0,22,0,0,180,0,0
390,3,2,833,0,50,0,0,0,22,0,0,180,0,0
400,3,2,833,0,50,0,0,0,22,0,0,180,0,0
410,3,2,833,0,50,0,0,0,22,0,0,180,0,0
420,3,2,833,0,50,0,0,0,22,0,0,180,0,0
430,3,2,833,0,50,0,0,0,22,0,0,180,0,0
440,3,2,833,0,50,0,0,0,22,0,0,180,0,0
450,3,2,833,0,50,0,0,0,22,0,0,180,0,0
460,3,2,833,0,50,0,0,0,22,0,0,180,0,0
470,3,2,833,0,50,0,0,0,22,0,0,180,0,0
480,3,2,833,0,50,0,0,0,22,0,0,180,0,0
490,3,2,833,0,50,0,0,0,22,0,0,180,0,0
//タイトル,,,,0,,0,,,,,,,,0
950,6,0,348,0,50,0,0,0,23,0,1,1000,180,0
950,6,0,548,0,50,0,0,0,23,0,1,1000,180,0
1150,6,0,248,0,100,0,0,0,23,0,1,1000,180,0
1150,6,0,648,0,100,0,0,0,23,0,1,1000,180,0
1350,6,0,148,0,150,0,0,0,23,0,1,1000,180,0
1350,6,0,748,0,150,0,0,0,23,0,1,1000,180,0
1550,6,0,148,0,80,0,0,0,24,0,3,1000,180,0
1610,6,0,248,0,80,0,0,0,24,0,3,1000,180,0
1670,6,0,348,0,80,0,0,0,24,0,3,1000,180,0
1730,6,0,448,0,80,0,0,0,24,0,3,1000,180,0
1790,6,0,548,0,80,0,0,0,24,0,3,1000,180,0
1850,6,0,648,0,80,0,0,0,24,0,3,1000,180,2
2000,6,0,800,0,80,0,0,0,24,2,3,800,180,0
2030,6,0,740,0,80,0,0,0,24,2,3,800,180,0
2060,6,0,680,0,80,0,0,0,24,2,3,800,180,0
2090,6,0,620,0,80,0,0,0,24,2,3,800,180,0
2120,6,0,560,0,80,0,0,0,24,2,3,800,180,0
2150,6,0,500,0,80,0,0,0,24,2,3,800,180,0
2180,6,0,440,0,80,0,0,0,24,2,3,800,180,0
2210,6,0,380,0,80,0,0,0,24,2,3,800,180,0
2240,6,0,320,0,80,0,0,0,24,2,3,800,180,0
2270,6,0,260,0,80,0,0,0,24,2,3,800,180,0
2300,6,0,200,0,80,0,0,0,24,2,3,800,180,0
2330,6,0,140,0,80,0,0,0,24,2,3,800,180,0
2360,6,0,80,0,80,0,0,0,24,2,3,800,180,2
2520,6,0,248,0,150,0,0,0,24,1,3,1400,260,0
2520,6,0,348,0,150,0,0,0,24,1,3,1400,260,0
2520,6,0,448,0,150,0,0,0,24,1,3,1400,260,2
2520,6,0,548,0,150,0,0,0,24,1,3,1400,260,0
2520,6,0,648,0,150,0,0,0,24,1,3,1400,260,0
//中ボス1,,,,0,,0,,,,,,,,0
3210,1,0,780,10,0,0,0,0,25,0,8,200,0,0
3230,1,0,760,10,0,0,0,0,25,0,8,200,0,0
3250,1,0,740,50,0,0,0,0,25,0,8,200,0,0
3270,1,0,720,50,0,0,0,0,25,0,8,200,0,0
3290,1,0,700,50,0,0,0,0,25,0,8,200,0,0
3310,1,0,680,50,0,0,0,0,25,0,8,200,0,0
3330,1,0,660,50,0,0,0,0,25,0,8,200,0,0
3350,1,0,640,50,0,0,0,0,25,0,8,200,0,0
3370,1,0,620,50,0,0,0,0,25,0,8,200,0,0
3390,1,0,600,50,0,0,0,0,25,0,8,200,0,0
3410,1,0,580,50,0,0,0,0,25,0,8,200,0,0
3430,1,0,560,50,0,0,0,0,25,0,8,200,0,0
3450,1,0,540,50,0,0,0,0,25,0,8,200,0,0
3470,1,0,520,50,0,0,0,0,25,0,8,200,0,0
3490,1,0,500,50,0,0,0,0,25,0,8,200,0,0
3510,1,0,480,50,0,0,0,0,25,0,8,200,0,0
3530,1,0,460,50,0,0,0,0,25,0,8,200,0,0
3550,1,0,440,50,0,0,0,0,25,0,8,200,0,2
3680,2,0,80,10,0,0,0,0,25,0,8,200,0,0
3700,2,0,100,10,0,0,0,0,25,0,8,200,0,0
3720,2,0,120,50,0,0,0,0,25,0,8,200,0,0
3740,2,0,140,50,0,0,0,0,25,0,8,200,0,0
3760,2,0,160,50,0,0,0,0,25,0,8,200,0,0
3780,2,0,180,50,0,0,0,0,25,0,8,200,0,0
3800,2,0,200,50,0,0,0,0,25,0,8,200,0,0
3820,2,0,220,50,0,0,0,0,25,0,8,200,0,0
3840,2,0,240,50,0,0,0,0,25,0,8,200,0,0
3860,2,0,260,50,0,0,0,0,25,0,8,200,0,0
3880,2,0,280,50,0,0,0,0,25,0,8,200,0,0
3900,2,0,300,50,0,0,0,0,25,0,8,200,0,0
3920,2,0,320,50,0,0,0,0,25,0,8,200,0,0
3940,2,0,340,50,0,0,0,0,25,0,8,200,0,0
3960,2,0,360,50,0,0,0,0,25,0,8,200,0,0
3980,2,0,380,50,0,0,0,0,25,0,8,200,0,0
4000,2,0,400,50,0,0,0,0,25,0,8,200,0,0
4020,2,0,420,50,0,0,0,0,25,0,8,200,0,0
4040,2,0,440,50,0,0,0,0,25,0,8,200,0,0
4060,2,0,460,50,0,0,0,0,25,0,8,200,0,0
4080,2,0,480,50,0,0,0,0,25,0,8,200,0,2
4200,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4220,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4240,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4260,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4280,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4300,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4320,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4340,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4360,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4380,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4400,0,0,448,80,0,0,0,0,25,2,8,200,0,0
4420,0,0,448,80,0,0,0,0,25,2,8,200,0,0
