/カウンタ,移動パターン,敵の種類,x座標,x乱数,y座標,y乱数,スピード,発射時間,弾幕種類,弾の色,弾種類,体力,待機時間,アイテム
/cnt,moveType,enemyType,x座標,xrand,y座標,yrand,speed,startTime,barrageType,bulletCol,bulletType,hp,waitTime,itemType
100,0,0,163,0,-20,0,0,60,7,0,1,160,120,0
110,0,0,213,0,-20,0,0,60,7,0,1,160,120,0
120,0,0,263,0,-20,0,0,60,7,0,1,160,120,0
130,0,0,313,0,-20,0,0,60,7,0,1,160,120,0
140,0,0,363,0,-20,0,0,60,7,0,1,160,120,6
150,0,0,413,0,-20,0,0,60,7,0,1,160,120,6
100,0,0,733,0,-20,0,0,60,7,0,1,160,120,3
110,0,0,683,0,-20,0,0,60,7,0,1,160,120,3
120,0,0,633,0,-20,0,0,60,7,0,1,160,120,3
130,0,0,583,0,-20,0,0,60,7,0,1,160,120,3
140,0,0,533,0,-20,0,0,60,7,0,1,160,120,6
150,0,0,483,0,-20,0,0,60,7,0,1,160,120,6
600,5,0,600,0,-20,0,0,0,8,0,5,500,0,0
640,5,0,500,0,-20,0,0,0,8,1,5,500,0,3
680,5,0,650,0,-20,0,0,0,8,2,5,500,0,6
720,5,0,550,0,-20,0,0,0,8,3,5,500,0,0
760,5,0,610,0,-20,0,0,0,8,4,5,500,0,3
800,5,0,510,0,-20,0,0,0,8,5,5,500,0,6
840,5,0,610,0,-20,0,0,0,8,6,5,500,0,0
880,5,0,560,0,-20,0,0,0,8,7,5,500,0,3
920,5,0,630,0,-20,0,0,0,8,2,5,500,0,6
960,5,0,520,0,-20,0,0,0,8,3,5,500,0,0
600,0,0,180,0,-20,0,0,60,7,0,1,1000,120,1
610,0,0,190,0,-20,0,0,60,7,0,1,1000,120,4
620,0,0,200,0,-20,0,0,60,7,0,1,1000,120,1
630,0,0,210,0,-20,0,0,60,7,0,1,1000,120,4
1150,5,0,150,0,-20,0,0,0,8,0,5,500,0,0
1190,5,0,250,0,-20,0,0,0,8,1,5,500,0,3
1230,5,0,160,0,-20,0,0,0,8,2,5,500,0,6
1270,5,0,280,0,-20,0,0,0,8,3,5,500,0,0
1310,5,0,140,0,-20,0,0,0,8,4,5,500,0,3
1350,5,0,230,0,-20,0,0,0,8,5,5,500,0,6
1390,5,0,190,0,-20,0,0,0,8,6,5,500,0,0
1430,5,0,270,0,-20,0,0,0,8,7,5,500,0,3
1470,5,0,120,0,-20,0,0,0,8,2,5,500,0,6
1510,5,0,210,0,-20,0,0,0,8,3,5,500,0,0
1150,0,0,700,0,-20,0,0,60,7,0,1,1000,120,7
1160,0,0,710,0,-20,0,0,60,7,0,1,1000,120,1
1170,0,0,720,0,-20,0,0,60,7,0,1,1000,120,7
1180,0,0,730,0,-20,0,0,60,7,0,1,1000,120,1
//中ボス1,,,,0,,0,,,,,,,,
1920,0,0,148,0,-20,0,0,30,7,0,1,700,120,3
1960,0,0,198,0,-20,0,0,30,7,0,1,700,120,6
2020,0,0,248,0,-20,0,0,30,7,0,1,700,120,0
2080,0,0,298,0,-20,0,0,30,7,0,1,700,120,3
2140,0,0,348,0,-20,0,0,30,7,0,1,700,120,6
2200,0,0,398,0,-20,0,0,30,7,0,1,700,120,0
2260,0,0,448,0,-20,0,0,30,7,0,1,700,120,3
2320,0,0,498,0,-20,0,0,30,7,0,1,700,120,6
2380,0,0,548,0,-20,0,0,30,7,0,1,700,120,0
2440,0,0,598,0,-20,0,0,30,7,0,1,700,120,3
2500,0,0,648,0,-20,0,0,30,7,0,1,700,120,6
2560,0,0,698,0,-20,0,0,30,7,0,1,700,120,0
2620,0,0,748,0,-20,0,0,30,7,0,1,700,120,3
//,,,,0,,0,,30,,,,,,
1900,0,0,748,0,-20,0,0,30,7,0,1,700,120,3
1960,0,0,698,0,-20,0,0,30,7,0,1,700,120,6
2020,0,0,648,0,-20,0,0,30,7,0,1,700,120,0
2080,0,0,598,0,-20,0,0,30,7,0,1,700,120,3
2140,0,0,548,0,-20,0,0,30,7,0,1,700,120,6
2200,0,0,498,0,-20,0,0,30,7,0,1,700,120,0
2260,0,0,448,0,-20,0,0,30,7,0,1,700,120,3
2320,0,0,398,0,-20,0,0,30,7,0,1,700,120,6
2380,0,0,348,0,-20,0,0,30,7,0,1,700,120,0
2440,0,0,298,0,-20,0,0,30,7,0,1,700,120,3
2500,0,0,248,0,-20,0,0,30,7,0,1,700,120,6
2560,0,0,198,0,-20,0,0,30,7,0,1,700,120,0
2620,0,0,148,0,-20,0,0,30,7,0,1,700,120,3
//,,,,0,,0,,30,,,,,,
2800,0,0,148,0,-20,0,0,30,7,0,1,700,120,0
2860,0,0,198,0,-20,0,0,30,7,0,1,700,120,3
2920,0,0,248,0,-20,0,0,30,7,0,1,700,120,6
2980,0,0,298,0,-20,0,0,30,7,0,1,700,120,0
3040,0,0,348,0,-20,0,0,30,7,0,1,700,120,3
3100,0,0,398,0,-20,0,0,30,7,0,1,700,120,6
3160,0,0,448,0,-20,0,0,30,7,0,1,700,120,0
3100,0,0,498,0,-20,0,0,30,7,0,1,700,120,3
3040,0,0,548,0,-20,0,0,30,7,0,1,700,120,6
2980,0,0,598,0,-20,0,0,30,7,0,1,700,120,0
2920,0,0,648,0,-20,0,0,30,7,0,1,700,120,3
2860,0,0,698,0,-20,0,0,30,7,0,1,700,120,6
2800,0,0,748,0,-20,0,0,30,7,0,1,700,120,0
//,,,,0,,0,,30,,,,,,
3330,0,0,448,0,-20,0,0,30,6,2,1,300,120,6
3345,0,0,180,0,-20,0,0,30,6,2,1,300,120,0
3360,0,0,700,0,-20,0,0,30,6,2,1,300,120,3
3375,0,0,400,0,-20,0,0,30,6,2,1,300,120,6
3390,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
3405,0,0,100,0,-20,0,0,30,6,2,1,300,120,3
3420,0,0,500,0,-20,0,0,30,6,2,1,300,120,6
3435,0,0,150,0,-20,0,0,30,6,2,1,300,120,0
3450,0,0,650,0,-20,0,0,30,6,2,1,300,120,3
3465,0,0,333,0,-20,0,0,30,6,2,1,300,120,6
3480,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
3495,0,0,280,0,-20,0,0,30,6,2,1,300,120,3
3510,0,0,650,0,-20,0,0,30,6,2,1,300,120,6
3525,0,0,170,0,-20,0,0,30,6,2,1,300,120,0
3540,0,0,580,0,-20,0,0,30,6,2,1,300,120,3
3555,0,0,400,0,-20,0,0,30,6,2,1,300,120,6
3570,0,0,280,0,-20,0,0,30,6,2,1,300,120,0
3585,0,0,610,0,-20,0,0,30,6,2,1,300,120,3
3600,0,0,390,0,-20,0,0,30,6,2,1,300,120,6
3615,0,0,448,0,-20,0,0,30,6,2,1,300,120,6
3630,0,0,180,0,-20,0,0,30,6,2,1,300,120,0
3645,0,0,700,0,-20,0,0,30,6,2,1,300,120,3
3660,0,0,400,0,-20,0,0,30,6,2,1,300,120,6
3675,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
3690,0,0,100,0,-20,0,0,30,6,2,1,300,120,3
3705,0,0,500,0,-20,0,0,30,6,2,1,300,120,6
3720,0,0,150,0,-20,0,0,30,6,2,1,300,120,0
3735,0,0,650,0,-20,0,0,30,6,2,1,300,120,3
3750,0,0,333,0,-20,0,0,30,6,2,1,300,120,6
3765,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
3780,0,0,280,0,-20,0,0,30,6,2,1,300,120,3
3795,0,0,650,0,-20,0,0,30,6,2,1,300,120,6
3810,0,0,170,0,-20,0,0,30,6,2,1,300,120,0
3825,0,0,580,0,-20,0,0,30,6,2,1,300,120,3
3840,0,0,400,0,-20,0,0,30,6,2,1,300,120,6
3855,0,0,280,0,-20,0,0,30,6,2,1,300,120,0
3870,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
3885,0,0,100,0,-20,0,0,30,6,2,1,300,120,3
3900,0,0,500,0,-20,0,0,30,6,2,1,300,120,6
3915,0,0,150,0,-20,0,0,30,6,2,1,300,120,0
3930,0,0,650,0,-20,0,0,30,6,2,1,300,120,3
3945,0,0,333,0,-20,0,0,30,6,2,1,300,120,6
3960,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
3975,0,0,280,0,-20,0,0,30,6,2,1,300,120,3
3990,0,0,650,0,-20,0,0,30,6,2,1,300,120,6
4005,0,0,170,0,-20,0,0,30,6,2,1,300,120,0
4020,0,0,448,0,-20,0,0,30,6,2,1,300,120,6
4035,0,0,180,0,-20,0,0,30,6,2,1,300,120,0
4050,0,0,700,0,-20,0,0,30,6,2,1,300,120,3
4065,0,0,400,0,-20,0,0,30,6,2,1,300,120,6
4080,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
4095,0,0,100,0,-20,0,0,30,6,2,1,300,120,3
4110,0,0,500,0,-20,0,0,30,6,2,1,300,120,6
4125,0,0,150,0,-20,0,0,30,6,2,1,300,120,0
4140,0,0,650,0,-20,0,0,30,6,2,1,300,120,3
4155,0,0,333,0,-20,0,0,30,6,2,1,300,120,6
4170,0,0,720,0,-20,0,0,30,6,2,1,300,120,0
4185,0,0,280,0,-20,0,0,30,6,2,1,300,120,3
4200,0,0,650,0,-20,0,0,30,6,2,1,300,120,6
4215,0,0,170,0,-20,0,0,30,6,2,1,300,120,0
4230,0,0,580,0,-20,0,0,30,6,2,1,300,120,3
//中ボス2,,,,0,,0,,,,,,,,
4650,0,0,148,0,-20,0,0,60,8,0,5,600,120,0
4700,0,0,198,0,-20,0,0,60,8,1,5,600,120,3
4750,0,0,248,0,-20,0,0,60,8,2,5,600,120,6
4800,0,0,298,0,-20,0,0,60,8,3,5,600,120,0
4850,0,0,348,0,-20,0,0,60,8,4,5,600,120,3
4900,0,0,398,0,-20,0,0,60,8,5,5,600,120,6
4950,0,0,448,0,-20,0,0,60,8,6,5,600,120,0
4900,0,0,498,0,-20,0,0,60,8,5,5,600,120,3
4850,0,0,548,0,-20,0,0,60,8,4,5,600,120,6
4800,0,0,598,0,-20,0,0,60,8,3,5,600,120,0
4750,0,0,648,0,-20,0,0,60,8,2,5,600,120,3
4700,0,0,698,0,-20,0,0,60,8,1,5,600,120,6
