/カウンタ,移動パターン,敵の種類,x座標,x乱数,y座標,y乱数,スピード,発射時間,弾幕種類,弾の色,弾種類,体力,待機時間,アイテム
/cnt,moveType,enemyType,x座標,xrand,y座標,yrand,speed,startTime,barrageType,bulletCol,bulletType,hp,waitTime,itemType
100,0,0,163,0,-20,0,0,60,8,0,8,400,120,0
105,0,0,193,0,-20,0,0,60,8,0,8,400,120,0
110,0,0,223,0,-20,0,0,60,8,0,8,400,120,0
115,0,0,253,0,-20,0,0,60,8,0,8,400,120,0
120,0,0,283,0,-20,0,0,60,8,0,8,400,120,0
120,0,1,680,0,-20,0,0,60,31,2,13,3000,240,2
//,,,,,,,,,,,,,,
600,0,1,448,0,-20,0,0,60,31,2,13,4000,240,8
780,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
790,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
800,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
810,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
820,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
830,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
840,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
850,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
860,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
870,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
880,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
890,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
900,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
910,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
920,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
800,0,1,348,0,-20,0,0,60,31,2,13,3900,240,2
980,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
990,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1000,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1010,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1020,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1030,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1040,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1050,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1060,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1070,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1080,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1090,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1100,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1110,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1120,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1000,0,1,548,0,-20,0,0,60,31,2,13,3800,240,8
1180,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
1190,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
1200,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
1210,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
1220,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
1230,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
1240,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
1250,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
1260,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
1270,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
1280,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
1290,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
1300,0,0,648,150,-20,0,0,0,2,0,13,150,240,0
1310,0,0,648,150,-20,0,0,0,0,0,13,150,240,3
1320,0,0,648,150,-20,0,0,0,0,0,13,150,240,6
1200,0,1,148,0,-20,0,0,60,31,2,13,3700,240,2
1380,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1390,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1400,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1410,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1420,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1430,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1440,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1450,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1460,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1470,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1480,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1490,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1500,0,0,248,150,-20,0,0,0,2,0,13,150,240,0
1510,0,0,248,150,-20,0,0,0,0,0,13,150,240,3
1520,0,0,248,150,-20,0,0,0,0,0,13,150,240,6
1400,0,1,748,0,-20,0,0,60,31,2,13,3600,240,8
1680,0,0,448,400,-20,0,0,0,2,0,13,150,240,0
1690,0,0,448,400,-20,0,0,0,0,0,13,150,240,3
1700,0,0,448,400,-20,0,0,0,0,0,13,150,240,6
1710,0,0,448,400,-20,0,0,0,2,0,13,150,240,0
1720,0,0,448,400,-20,0,0,0,0,0,13,150,240,3
1730,0,0,448,400,-20,0,0,0,0,0,13,150,240,6
1740,0,0,448,400,-20,0,0,0,2,0,13,150,240,0
1750,0,0,448,400,-20,0,0,0,0,0,13,150,240,3
1760,0,0,448,400,-20,0,0,0,0,0,13,150,240,6
1770,0,0,448,400,-20,0,0,0,2,0,13,150,240,0
1780,0,0,448,400,-20,0,0,0,0,0,13,150,240,3
1790,0,0,448,400,-20,0,0,0,0,0,13,150,240,6
1800,0,0,448,400,-20,0,0,0,2,0,13,150,240,0
1810,0,0,448,400,-20,0,0,0,0,0,13,150,240,3
1820,0,0,448,400,-20,0,0,0,0,0,13,150,240,6
1700,0,1,148,0,-20,0,0,60,31,2,13,3500,240,2
//中ボス1,,,,0,,0,,,,,,,,
2300,0,0,398,0,-20,0,0,60,32,2,13,2040,240,6
2300,0,0,428,0,-20,0,0,60,32,2,13,2040,240,6
2300,0,0,468,0,-20,0,0,60,32,2,13,2040,240,6
2300,0,0,498,0,-20,0,0,60,32,2,13,2040,240,6
2500,0,0,348,0,-20,0,0,60,32,2,13,2820,240,6
2500,0,0,358,0,-20,0,0,60,32,2,13,2820,240,6
2700,0,0,548,0,-20,0,0,60,32,2,13,2820,240,6
2700,0,0,558,0,-20,0,0,60,32,2,13,2820,240,6
2900,0,0,98,0,-20,0,0,60,32,2,13,1650,240,6
2930,0,0,148,0,-20,0,0,60,32,2,13,1650,240,6
2960,0,0,198,0,-20,0,0,60,32,2,13,1650,240,6
2990,0,0,248,0,-20,0,0,60,32,2,13,1650,240,6
3020,0,0,298,0,-20,0,0,60,32,2,13,1650,240,6
3050,0,0,348,0,-20,0,0,60,32,2,13,1650,240,6
3080,0,0,398,0,-20,0,0,60,32,2,13,1650,240,6
3110,0,0,448,0,-20,0,0,60,32,2,13,1650,240,6
3140,0,0,498,0,-20,0,0,60,32,2,13,1650,240,6
3170,0,0,548,0,-20,0,0,60,32,2,13,1650,240,6
3200,0,0,598,0,-20,0,0,60,32,2,13,1650,240,6
3230,0,0,648,0,-20,0,0,60,32,2,13,1650,240,6
3260,0,0,698,0,-20,0,0,60,32,2,13,1650,240,6
3290,0,0,748,0,-20,0,0,60,32,2,13,1650,240,6
3320,0,0,798,0,-20,0,0,60,32,2,13,1650,240,6
3500,0,0,98,0,-20,0,0,60,32,2,13,1650,240,6
3560,0,0,198,0,-20,0,0,60,32,2,13,1650,240,6
3620,0,0,298,0,-20,0,0,60,32,2,13,1650,240,6
3680,0,0,398,0,-20,0,0,60,32,2,13,1650,240,6
3500,0,0,798,0,-20,0,0,60,8,0,8,1650,240,6
3530,0,0,748,0,-20,0,0,60,8,0,8,1650,240,6
3560,0,0,698,0,-20,0,0,60,8,0,8,1650,240,6
3590,0,0,648,0,-20,0,0,60,8,0,8,1650,240,6
3620,0,0,598,0,-20,0,0,60,8,0,8,1650,240,6
