/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,弾種類,体力,待機時間,アイテム
/cnt,moveType,enemyType,x座標,y座標,speed,startTime,barrageType,bulletCol,bulletType,hp,waitTime,itemType
100,6,0,148,180,0,0,16,0,3,800,90,0
130,6,0,248,180,0,0,16,0,3,800,90,0
160,6,0,348,180,0,0,16,0,3,800,90,0
190,6,0,448,180,0,0,16,0,3,800,90,0
220,6,0,548,180,0,0,16,0,3,800,90,0
250,6,0,648,180,0,0,16,0,3,800,90,0
280,6,0,748,180,0,0,16,0,3,800,90,0
720,6,0,148,180,0,0,16,0,3,2000,90,0
820,6,0,748,180,0,0,16,0,3,2000,90,0
920,6,0,148,180,0,0,16,0,3,2000,90,0
1020,6,0,748,180,0,0,16,0,3,2000,90,0
1120,6,0,148,180,0,0,16,0,3,2000,90,0
1220,6,0,748,180,0,0,16,0,3,2000,90,0
1320,6,0,148,180,0,0,16,0,3,2000,90,0
1420,6,0,748,180,0,0,16,0,3,2000,90,0
1520,6,0,148,180,0,0,16,0,3,2000,90,0
1620,6,0,748,180,0,0,16,0,3,2000,90,0
1720,6,0,148,180,0,0,16,0,3,2000,90,0
1820,6,0,748,180,0,0,16,0,3,2000,90,0
720,6,0,148,80,0,0,17,2,1,50,90,0
770,6,0,248,80,0,0,17,2,1,50,90,0
820,6,0,348,80,0,0,17,2,1,50,90,0
870,6,0,448,80,0,0,17,2,1,50,90,0
920,6,0,548,80,0,0,17,2,1,50,90,0
970,6,0,648,80,0,0,17,2,1,50,90,0
1020,6,0,748,80,0,0,17,2,1,50,90,0
1070,6,0,148,80,0,0,17,2,1,50,90,0
1120,6,0,248,80,0,0,17,2,1,50,90,0
1170,6,0,348,80,0,0,17,2,1,50,90,0
1220,6,0,448,80,0,0,17,2,1,50,90,0
1270,6,0,548,80,0,0,17,2,1,50,90,0
1320,6,0,648,80,0,0,17,2,1,50,90,0
1370,6,0,748,80,0,0,17,2,1,50,90,0
1420,6,0,148,80,0,0,17,2,1,50,90,0
1470,6,0,248,80,0,0,17,2,1,50,90,0
1520,6,0,348,80,0,0,17,2,1,50,90,0
1570,6,0,448,80,0,0,17,2,1,50,90,0
1620,6,0,548,80,0,0,17,2,1,50,90,0
1670,6,0,648,80,0,0,17,2,1,50,90,0
1720,6,0,748,80,0,0,17,2,1,50,90,0
1770,6,0,148,80,0,0,17,2,1,50,90,0
1820,6,0,248,80,0,0,17,2,1,50,90,0
1870,6,0,348,80,0,0,17,2,1,50,90,0
//中ボス1,,,,,,,,,,,,
2400,6,0,148,150,0,0,18,0,1,1500,180,0
2500,6,0,748,150,0,0,18,0,1,1500,180,0
2600,6,0,148,150,0,0,18,0,1,1500,180,0
2700,6,0,748,150,0,0,18,0,1,1500,180,0
2800,6,0,148,150,0,0,18,0,1,1500,180,0
2900,6,0,748,150,0,0,18,0,1,1500,180,0
3000,6,0,148,150,0,0,18,0,1,1500,180,0
3100,6,0,748,150,0,0,18,0,1,1500,180,0
3200,6,0,148,150,0,0,18,0,1,1500,180,0
3300,6,0,748,150,0,0,18,0,1,1500,180,0
3400,6,0,148,150,0,0,18,0,1,1500,180,0
2700,6,0,448,250,0,0,19,0,10,200,180,0
2770,6,0,448,330,0,0,19,0,10,200,180,0
2840,6,0,448,410,0,0,19,0,10,200,180,0
2910,6,0,448,490,0,0,19,0,10,200,180,0
2980,6,0,448,570,0,0,19,0,10,200,180,0
3050,6,0,448,650,0,0,19,0,10,200,180,0
3120,6,0,448,730,0,0,19,0,10,200,180,0
3190,6,0,448,810,0,0,19,0,10,200,180,0
3260,6,0,448,890,0,0,19,0,10,200,180,0
3660,6,0,448,150,0,0,18,2,1,2000,180,0
3780,6,0,448,200,0,0,18,2,1,2000,180,0
3900,6,0,448,250,0,0,18,2,1,2000,180,0
4020,6,0,448,300,0,0,18,2,1,2000,180,0
4140,6,0,448,350,0,0,18,2,1,2000,180,0
4260,6,0,448,400,0,0,18,2,1,2000,180,0
4380,6,0,448,450,0,0,18,2,1,2000,180,0
4500,6,0,448,500,0,0,18,2,1,2000,180,0
3660,6,0,148,960,0,0,19,2,10,200,180,0
